Row_ID,As_Of_Date,Material_Price_Index,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
32,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Kids Room,199,Basic,Economy,Marble,Standard,POP,Standard,False,Standard,None,None,3664,620,158142,916,20457,845,0,0,0,0,0,121509,22097,42249,66690,437187,2196.92
33,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Kitchen,225,Mid,Premium,Vitrified_Tile,Economy,POP,Premium,False,None,Basic_L,None,6701,558,28156,1481,32250,1193,0,0,184778,0,24459,0,19455,65980,65702,430715,1914.29
34,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Kids Room,508,Mid,Standard,Ceramic_Tile,Economy,Grid,Luxury,False,Basic,None,None,12248,1618,56540,3392,117692,2511,0,0,0,0,0,80548,20130,67265,65150,427094,840.74
35,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Kitchen,418,Luxury,Standard,Ceramic_Tile,Premium,Gypsum,Standard,True,None,Luxury_Island,None,13159,1305,93074,2320,84869,1645,71742,1610,1422506,0,31555,0,128965,530926,429061,2812736,6729.03
36,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Kitchen,487,Mid,Premium,Vitrified_Tile,Economy,Gypsum,Economy,False,None,Standard_L,None,17255,1600,47002,2345,82236,1891,0,0,200991,0,24655,0,30351,60476,84384,553185,1135.9
37,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Living Room,428,Mid,Premium,Ceramic_Tile,Premium,Gypsum,Economy,False,Basic,None,None,10162,1392,41224,2151,68485,1855,0,0,0,0,0,39939,15285,40972,39864,261329,610.58
38,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Living Room,291,Mid,Standard,Granite,Premium,None,None,True,None,None,None,7327,1137,171763,1285,0,0,31111,1026,0,0,0,0,14518,41875,48608,318650,1095.02
39,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Dining,212,Luxury,Luxury,Vitrified_Tile,Standard,POP,Standard,True,Basic,None,None,8198,653,33221,864,23047,825,28595,649,0,0,0,75170,13848,47942,41942,274955,1296.96
40,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Kids Room,281,Luxury,Economy,Marble,Premium,Gypsum,Standard,True,Basic,None,None,6022,630,176578,1611,41475,1181,20496,1094,0,0,0,60534,21318,88552,75508,494999,1761.56
41,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Kitchen,113,Mid,Standard,Granite,Standard,None,None,True,None,Standard_L,None,2926,538,24355,597,0,0,15152,483,244329,0,34576,0,18313,48766,70206,460242,4072.94
42,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Kitchen,548,Basic,Premium,Ceramic_Tile,Economy,Gypsum,Standard,True,None,Basic_L,None,25132,1819,89366,3789,145156,2723,78380,2507,305311,0,73527,0,58957,76410,155354,1018431,1858.45
43,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Bathroom,202,Basic,Premium,Ceramic_Tile,Economy,None,None,False,None,None,Basic,9098,1032,37603,1777,0,0,0,0,0,136738,110133,0,18099,43568,64449,422497,2091.57
44,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Kids Room,502,Basic,Luxury,Vitrified_Tile,Luxury,Gypsum,Standard,False,Standard,None,None,24410,1255,100042,2939,87144,1805,0,0,0,0,0,144456,19744,41274,76152,499221,994.46
45,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Living Room,523,Basic,Premium,Marble,Standard,POP,Standard,False,Standard,None,None,18524,1130,311781,2304,47100,1808,0,0,0,0,0,120452,39764,68422,110031,721316,1379.19
46,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Bathroom,312,Mid,Premium,Vitrified_Tile,Premium,None,None,True,None,None,Standard,11052,1019,40951,1540,0,0,23285,913,0,250947,62780,0,21225,62798,85772,562281,1802.18
47,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Bedroom,277,Luxury,Premium,Ceramic_Tile,Standard,None,None,False,Basic,None,None,11446,1152,46130,1585,0,0,0,0,0,0,0,59478,9235,38812,30211,198048,714.98
48,2025-09-07,1.0,Pune,Metro,1.2,700,850,Living Room,385,Basic,Standard,Ceramic_Tile,Standard,Grid,Economy,False,None,None,None,10504,1268,65324,2225,71327,2246,0,0,0,0,0,0,9858,21711,33203,217667,565.37
49,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Living Room,487,Luxury,Economy,Ceramic_Tile,Premium,None,None,True,None,None,None,10288,1856,64933,3443,0,0,87368,1728,0,0,0,0,8793,53599,41762,273770,562.16
50,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Study,273,Luxury,Standard,Ceramic_Tile,Premium,POP,Economy,True,None,None,None,6564,616,41508,1221,30978,878,20955,853,0,0,0,0,7663,30450,25504,167190,612.42
51,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Dining,338,Luxury,Economy,Ceramic_Tile,Premium,POP,Economy,True,Basic,None,None,5851,937,53606,2002,33940,1770,36401,1410,0,0,0,52524,9833,62374,46917,307565,909.96
52,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Study,232,Mid,Economy,Epoxy,Standard,POP,Standard,False,Basic,None,None,4224,719,27450,1366,29932,1092,0,0,0,0,0,64336,11082,29439,30535,200175,862.82
53,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Study,513,Luxury,Luxury,Wood_Laminate,Standard,Gypsum,Luxury,True,Basic,None,None,15948,1315,114800,2698,78234,2390,71629,1589,0,0,0,54830,30052,107838,86638,567962,1107.14
54,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Bathroom,506,Luxury,Standard,Ceramic_Tile,Standard,None,None,True,None,None,Standard,12532,1529,90214,4341,0,0,71962,2224,0,275332,79700,0,47000,169418,135765,890017,1758.93
55,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Dining,95,Luxury,Economy,Granite,Economy,Gypsum,Standard,True,None,None,None,1757,581,32385,527,13865,573,6637,558,0,0,0,0,3081,17918,14019,91900,967.37
56,2025-09-07,1.0,Mysuru,Tier-3,0.94,520,660,Kids Room,524,Luxury,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,None,None,None,8117,1073,69595,1791,64701,1953,36153,1357,0,0,0,0,12292,62996,46805,306831,585.56
57,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Living Room,469,Luxury,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,Basic,None,None,12451,1328,65605,2457,67052,2189,65308,1721,0,0,0,38103,14907,84807,64067,419997,895.52
58,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Living Room,489,Basic,Premium,Engineered_Wood,Standard,POP,Economy,True,None,None,None,17481,1452,118609,3055,61764,2136,46633,1722,0,0,0,0,16120,33377,54423,356772,729.59
59,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Kids Room,413,Mid,Economy,Ceramic_Tile,Standard,None,None,True,None,None,None,12752,1188,38196,2724,0,0,64333,2011,0,0,0,0,7500,27756,28163,184623,447.03
60,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Living Room,271,Luxury,Economy,Vitrified_Tile,Premium,Grid,Standard,True,Standard,None,None,5796,1164,58010,2263,48324,1263,49596,1564,0,0,0,109659,18819,82181,68155,446794,1648.68
61,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Kitchen,428,Mid,Standard,Ceramic_Tile,Premium,None,None,True,None,Basic_L,None,13317,1325,63523,2813,0,0,56746,1237,291202,0,26294,0,27101,104529,105856,693944,1621.37
62,2025-09-07,1.0,Pune,Metro,1.2,700,850,Bedroom,221,Mid,Luxury,Marble,Standard,Gypsum,Standard,True,Standard,None,None,11438,747,219105,1679,54544,922,30439,942,0,0,0,183250,26907,101619,113686,745278,3372.3
63,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Kids Room,156,Mid,Economy,Ceramic_Tile,Standard,None,None,True,Basic,None,None,3648,560,11968,846,0,0,22705,633,0,0,0,44312,7442,15410,19354,126878,813.32
64,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Living Room,527,Basic,Standard,Granite,Standard,Gypsum,Economy,False,None,None,None,10440,1390,107879,2175,75005,2010,0,0,0,0,0,0,10763,28244,42823,280730,532.69
65,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Bathroom,318,Luxury,Premium,Ceramic_Tile,Premium,None,None,True,None,None,Premium,10838,800,34672,1904,0,0,50802,968,0,341908,70250,0,32805,134181,122243,801370,2520.03
66,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Kids Room,145,Luxury,Standard,Marble,Premium,None,None,True,Premium,None,None,2764,580,60245,793,0,0,17229,563,0,0,0,389536,35837,161796,120482,789824,5447.06
67,2025-09-07,1.0,Vadodara,Tier-2,0.98,550,700,Kids Room,345,Basic,Standard,Wood_Laminate,Standard,None,None,True,None,None,None,8066,911,54717,1993,0,0,27445,1199,0,0,0,0,7711,14055,20898,136996,397.09
68,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Dining,499,Basic,Standard,Vitrified_Tile,Standard,None,None,False,Standard,None,None,11551,1365,96595,2101,0,0,0,0,0,0,0,136362,22314,28021,53696,352005,705.42
69,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Bedroom,91,Luxury,Standard,Ceramic_Tile,Economy,None,None,True,Basic,None,None,3113,755,12909,795,0,0,12101,853,0,0,0,63867,6164,30867,23656,155081,1704.18
70,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Kitchen,483,Mid,Premium,Vitrified_Tile,Luxury,Gypsum,Economy,False,None,Standard_L,None,15492,1674,88828,3430,78496,2235,0,0,205017,0,65845,0,33273,102807,107477,704574,1458.75
71,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Bathroom,81,Mid,Luxury,Vitrified_Tile,Economy,None,None,True,None,None,Standard,2032,624,9818,631,0,0,11498,659,0,106974,67355,0,13467,40118,45571,298746,3688.23
72,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Bedroom,255,Mid,Standard,Marble,Luxury,Grid,Standard,False,Basic,None,None,4850,809,181953,1233,22456,782,0,0,0,0,0,35575,23175,55971,58825,385627,1512.26
73,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Kitchen,517,Mid,Luxury,Vitrified_Tile,Premium,None,None,False,None,Standard_L,None,18884,1716,83924,3449,0,0,0,0,400363,0,53990,0,28600,93346,123169,807441,1561.78
74,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Kitchen,534,Luxury,Premium,Ceramic_Tile,Standard,POP,Economy,True,None,Luxury_Island,None,17100,1186,66775,1723,48535,2050,62094,1335,499403,0,29999,0,47960,224901,180551,1183612,2216.5
75,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Bathroom,322,Mid,Standard,Vitrified_Tile,Standard,None,None,True,None,None,Standard,8546,781,34509,1123,0,0,28071,826,0,204146,60206,0,24822,83199,80321,526552,1635.25
76,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Kids Room,416,Mid,Standard,Ceramic_Tile,Standard,Gypsum,Luxury,True,None,None,None,11682,947,37710,2029,71423,1728,34575,895,0,0,0,0,8164,26080,35142,230376,553.79
77,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Living Room,376,Basic,Standard,Vitrified_Tile,Standard,None,None,False,None,None,None,7800,1008,62061,2233,0,0,0,0,0,0,0,0,4490,7676,15348,100614,267.59
78,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Kids Room,112,Luxury,Premium,Granite,Premium,Grid,Economy,True,Premium,None,None,5882,863,39899,925,23627,932,11598,947,0,0,0,460013,40412,148699,132083,865880,7731.07
79,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Kids Room,312,Mid,Economy,Marble,Economy,None,None,False,Standard,None,None,6911,834,204565,2329,0,0,0,0,0,0,0,144681,19352,60725,79091,518488,1661.82
80,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Bedroom,158,Basic,Luxury,Ceramic_Tile,Economy,Grid,Standard,False,Standard,None,None,5095,517,16104,709,14684,537,0,0,0,0,0,99988,7591,17067,29212,191504,1212.05
81,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Kitchen,365,Basic,Standard,Vitrified_Tile,Standard,None,None,False,None,Basic_L,None,8444,882,61798,1716,0,0,0,0,214680,0,41312,0,22213,48667,71948,471659,1292.22
82,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Bedroom,99,Luxury,Economy,Engineered_Wood,Standard,POP,Economy,True,Standard,None,None,2608,542,26571,606,8991,488,12037,535,0,0,0,124048,9107,59985,44193,289712,2926.38
83,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Study,100,Basic,Economy,Epoxy,Luxury,Gypsum,Economy,False,None,None,None,2246,665,17442,613,15081,649,0,0,0,0,0,0,2049,5394,7945,52084,520.84
84,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Bathroom,323,Luxury,Premium,Ceramic_Tile,Premium,None,None,True,None,None,Premium,8824,810,33554,1662,0,0,42286,1193,0,340778,78230,0,31244,176553,128724,843860,2612.57
85,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Bedroom,355,Mid,Premium,Marble,Economy,None,None,False,None,None,None,13227,1382,152180,2658,0,0,0,0,0,0,0,0,13215,35584,39284,257529,725.43
86,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Kids Room,223,Mid,Luxury,Engineered_Wood,Standard,Gypsum,Standard,True,Basic,None,None,6372,558,49778,995,38737,975,16744,545,0,0,0,65220,11502,42822,42165,276413,1239.52
87,2025-09-07,1.0,Mysuru,Tier-3,0.94,520,660,Living Room,456,Basic,Luxury,Granite,Standard,Gypsum,Economy,False,Basic,None,None,13279,1022,177817,1727,62149,1720,0,0,0,0,0,59758,19047,40637,67888,445044,975.97
88,2025-09-07,1.0,Pune,Metro,1.2,700,850,Kids Room,505,Mid,Economy,Vitrified_Tile,Luxury,Gypsum,Luxury,True,Basic,None,None,10905,1883,132761,2395,131646,2511,69542,1515,0,0,0,86384,41277,108127,106010,694957,1376.15
89,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Kitchen,268,Luxury,Premium,Ceramic_Tile,Economy,Grid,Standard,True,None,Standard_L,None,8982,842,23734,1589,38173,904,29875,973,315617,0,57091,0,36508,160534,121468,796291,2971.23
90,2025-09-07,1.0,Kanpur,Tier-3,0.9,480,620,Bedroom,321,Basic,Standard,Vitrified_Tile,Premium,None,None,False,Basic,None,None,9338,656,50487,1282,0,0,0,0,0,0,0,48953,5475,16275,23844,156312,486.95
91,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Bathroom,75,Luxury,Standard,Ceramic_Tile,Standard,None,None,True,None,None,Standard,1971,515,10127,529,0,0,6119,503,0,141330,62546,0,22101,72012,57196,374950,4999.33
92,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Kitchen,398,Basic,Premium,Ceramic_Tile,Premium,None,None,False,None,Basic_L,None,12260,1464,46994,2232,0,0,0,0,166820,0,45660,0,14165,36632,58721,384948,967.21
93,2025-09-07,1.0,Pune,Metro,1.2,700,850,Kids Room,402,Luxury,Economy,Granite,Economy,None,None,True,None,None,None,14452,1721,126919,2589,0,0,51060,1738,0,0,0,0,17652,59147,49550,324827,808.03
94,2025-09-07,1.0,Nagpur,Tier-2,0.95,520,680,Study,500,Mid,Premium,Vitrified_Tile,Premium,Grid,Standard,False,Basic,None,None,11020,1490,65855,2010,69052,1727,0,0,0,0,0,45401,18570,36952,45374,297451,594.9
95,2025-09-07,1.0,Vadodara,Tier-2,0.98,550,700,Living Room,396,Luxury,Premium,Marble,Standard,Gypsum,Economy,True,None,None,None,8964,1072,168757,2091,62277,1625,46620,1558,0,0,0,0,22273,84374,71930,471541,1190.76
96,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Dining,446,Mid,Standard,Ceramic_Tile,Premium,POP,Premium,True,Basic,None,None,11289,1395,66386,2146,48261,1361,38017,1156,0,0,0,36595,11100,31198,44803,293708,658.54
97,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Bedroom,525,Mid,Standard,Ceramic_Tile,Premium,POP,Standard,True,Standard,None,None,12629,1443,62265,2425,81856,2005,60762,1674,0,0,0,113329,18426,79183,78479,514476,979.95
98,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Living Room,354,Luxury,Premium,Marble,Economy,None,None,True,Basic,None,None,13011,694,111266,1455,0,0,30985,1113,0,0,0,43965,14435,54267,48814,320005,903.97
99,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Bathroom,349,Luxury,Luxury,Vitrified_Tile,Standard,None,None,True,None,None,Premium,14134,713,51437,1242,0,0,32734,1339,0,343019,77089,0,28667,157034,127333,834741,2391.81
100,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Kitchen,176,Luxury,Standard,Vitrified_Tile,Standard,POP,Standard,True,None,Premium_U,None,4989,816,25896,1273,25988,754,17936,772,601313,0,31454,0,36960,214780,173327,1136258,6456.01
101,2025-09-07,1.0,Mysuru,Tier-3,0.94,520,660,Bedroom,80,Mid,Standard,Ceramic_Tile,Economy,Grid,Luxury,True,None,None,None,1665,544,10604,552,13340,623,8171,521,0,0,0,0,2878,7745,8396,55039,687.99
102,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Dining,118,Luxury,Standard,Ceramic_Tile,Standard,None,None,True,Basic,None,None,4818,829,19013,865,0,0,21127,856,0,0,0,42797,4976,24292,21523,141097,1195.73
103,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Living Room,216,Basic,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,Premium,None,None,6209,763,38138,1776,31352,1121,17602,720,0,0,0,393001,36350,58391,105376,690800,3198.15
104,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Bathroom,269,Mid,Economy,Ceramic_Tile,Economy,None,None,True,None,None,Standard,5004,597,25403,1094,0,0,19414,607,0,176111,73620,0,21588,60068,69031,452536,1682.29
105,2025-09-07,1.0,Pune,Metro,1.2,700,850,Bathroom,119,Luxury,Standard,Granite,Luxury,None,None,True,None,None,Standard,3417,823,79647,736,0,0,14502,807,0,238182,101693,0,39489,142937,112002,734233,6170.02
106,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Kitchen,325,Luxury,Standard,Vitrified_Tile,Premium,None,None,False,None,Luxury_Island,None,6594,700,35267,1378,0,0,0,0,896067,0,30365,0,82857,294993,242680,1590900,4895.08
107,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Kids Room,474,Mid,Standard,Vitrified_Tile,Standard,Gypsum,Standard,False,Basic,None,None,12783,1229,73021,1956,52650,1821,0,0,0,0,0,66368,13910,41756,47789,313282,660.93
