Row_ID,Material_Price_Index,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
11,1.0,Bangalore,Metro,1.25,750,900,Kids Room,159,Luxury,Premium,Vitrified_Tile,Standard,Grid,Luxury,True,Basic,nan,nan,6603,837,32259,1184,32304,809,19568,876,0,0,0,99903,19027,49946,47397,310714,1954.18
12,1.0,Bangalore,Metro,1.25,750,900,Dining,172,Mid,Standard,Ceramic_Tile,Economy,nan,nan,True,nan,nan,nan,4912,816,30710,1179,0,0,33079,766,0,0,0,0,6491,11648,16128,105730,614.71
13,1.0,Patna,Tier-3,0.88,450,600,Living Room,200,Luxury,Standard,Vitrified_Tile,Standard,POP,Premium,True,Standard,nan,nan,4680,488,28120,1234,21851,700,12473,461,0,0,0,118412,17019,51062,46170,302670,1513.35
14,1.0,Ranchi,Tier-3,0.9,480,620,Dining,141,Basic,Standard,Wood_Laminate,Luxury,nan,nan,False,Premium,nan,nan,2370,530,32413,558,0,0,0,0,0,0,0,230180,15401,27137,55546,364136,2582.53
15,1.0,Kolkata,Metro,1.0,600,750,Bathroom,81,Luxury,Premium,Vitrified_Tile,Standard,nan,nan,True,nan,nan,Standard,2964,637,10698,606,0,0,12366,652,0,167403,61916,0,16324,87977,65078,426621,5266.93
16,1.0,Bangalore,Metro,1.25,750,900,Kids Room,203,Luxury,Standard,Ceramic_Tile,Premium,Gypsum,Standard,True,Standard,nan,nan,4687,882,48319,1164,50237,812,18776,841,0,0,0,185857,29868,93784,78341,513568,2529.89
17,1.0,Varanasi,Tier-3,0.9,480,620,Living Room,244,Basic,Luxury,Wood_Laminate,Standard,Grid,Standard,True,Basic,nan,nan,6185,641,39340,1094,34969,974,26201,666,0,0,0,53099,13221,23986,36068,236444,969.03
18,1.0,Coimbatore,Tier-2,0.95,520,660,Bathroom,282,Basic,Premium,Vitrified_Tile,Luxury,nan,nan,True,nan,nan,Basic,9387,641,37608,1731,0,0,38200,989,0,141880,78154,0,22212,38882,66543,436226,1546.9
19,1.0,Kanpur,Tier-3,0.9,480,620,Dining,163,Luxury,Standard,Engineered_Wood,Economy,Grid,Standard,True,Standard,nan,nan,4867,600,33670,696,21151,544,23312,563,0,0,0,127139,18064,61212,52527,344346,2112.56
20,1.0,Chandigarh,Tier-2,1.02,600,750,Bathroom,468,Luxury,Economy,Vitrified_Tile,Premium,nan,nan,True,nan,nan,Standard,13224,1636,82090,2464,0,0,43490,1321,0,131390,79731,0,29856,104827,88205,578232,1235.54
21,1.0,Bangalore,Metro,1.25,750,900,Bathroom,265,Luxury,Economy,Granite,Premium,nan,nan,True,nan,nan,Standard,9268,1299,140082,1396,0,0,34814,1040,0,184117,83388,0,31365,135255,111964,733988,2769.76
22,1.0,Varanasi,Tier-3,0.9,480,620,Study,453,Luxury,Standard,Vitrified_Tile,Economy,Gypsum,Standard,True,Basic,nan,nan,7526,1025,58967,1848,59420,1218,63442,1085,0,0,0,60706,13154,68148,60577,397114,876.63
23,1.0,Surat,Tier-2,1.0,550,700,Living Room,382,Luxury,Economy,Vitrified_Tile,Economy,Grid,Premium,False,nan,nan,nan,9820,984,66784,2193,69624,1217,0,0,0,0,0,0,7499,38258,35348,231728,606.62
24,1.0,Jaipur,Tier-2,0.95,550,700,Dining,395,Mid,Premium,Marble,Economy,nan,nan,True,nan,nan,nan,12907,868,229729,1413,0,0,40735,1223,0,0,0,0,26206,54506,66166,433753,1098.11
25,1.0,Bhopal,Tier-2,0.93,500,640,Bedroom,278,Mid,Premium,Marble,Premium,nan,nan,True,Standard,nan,nan,9455,853,200419,1310,0,0,37916,1086,0,0,0,97079,25257,74497,80617,528488,1901.03
26,1.0,Guwahati,Tier-3,0.92,500,640,Study,251,Basic,Standard,Granite,Standard,Gypsum,Standard,False,Standard,nan,nan,5171,565,80321,1390,41615,868,0,0,0,0,0,82161,12782,26511,45249,296633,1181.81
27,1.0,Mysuru,Tier-3,0.94,520,660,Living Room,216,Luxury,Standard,Ceramic_Tile,Standard,nan,nan,False,Basic,nan,nan,5554,569,19988,1197,0,0,0,0,0,0,0,37202,5454,18515,15926,104406,483.36
28,1.0,Lucknow,Tier-2,0.92,500,650,Study,353,Luxury,Luxury,Vitrified_Tile,Premium,nan,nan,True,nan,nan,nan,10973,768,37025,1624,0,0,44736,1204,0,0,0,0,6856,29862,23949,156998,444.75
29,1.0,Indore,Tier-2,0.96,550,700,Living Room,533,Mid,Standard,Vitrified_Tile,Premium,Gypsum,Standard,True,nan,nan,nan,9855,1853,93277,1989,96893,1956,56205,1514,0,0,0,0,20768,64304,62750,411364,771.79
30,1.0,Guwahati,Tier-3,0.92,500,640,Study,117,Basic,Standard,Wood_Laminate,Economy,Gypsum,Economy,False,Standard,nan,nan,2948,522,19025,536,11275,537,0,0,0,0,0,91799,6970,16590,27036,177239,1514.86
31,1.0,Ahmedabad,Metro,1.05,600,750,Study,141,Mid,Economy,Vitrified_Tile,Economy,Gypsum,Standard,True,Standard,nan,nan,4095,685,22086,705,24166,733,10708,634,0,0,0,145648,10550,48804,48387,317201,2249.65
32,1.0,Varanasi,Tier-3,0.9,480,620,Kids Room,199,Basic,Economy,Marble,Standard,POP,Standard,False,Standard,nan,nan,3664,620,158142,916,20457,845,0,0,0,0,0,121509,22097,42249,66690,437187,2196.92
33,1.0,Indore,Tier-2,0.96,550,700,Kitchen,225,Mid,Premium,Vitrified_Tile,Economy,POP,Premium,False,nan,Basic_L,nan,6701,558,28156,1481,32250,1193,0,0,184778,0,24459,0,19455,65980,65702,430715,1914.29
34,1.0,Ahmedabad,Metro,1.05,600,750,Kids Room,508,Mid,Standard,Ceramic_Tile,Economy,Grid,Luxury,False,Basic,nan,nan,12248,1618,56540,3392,117692,2511,0,0,0,0,0,80548,20130,67265,65150,427094,840.74
35,1.0,Delhi,Metro,1.2,750,900,Kitchen,418,Luxury,Standard,Ceramic_Tile,Premium,Gypsum,Standard,True,nan,Luxury_Island,nan,13159,1305,93074,2320,84869,1645,71742,1610,1422506,0,31555,0,128965,530926,429061,2812736,6729.03
36,1.0,Ranchi,Tier-3,0.9,480,620,Kitchen,487,Mid,Premium,Vitrified_Tile,Economy,Gypsum,Economy,False,nan,Standard_L,nan,17255,1600,47002,2345,82236,1891,0,0,200991,0,24655,0,30351,60476,84384,553185,1135.9
37,1.0,Jaipur,Tier-2,0.95,550,700,Living Room,428,Mid,Premium,Ceramic_Tile,Premium,Gypsum,Economy,False,Basic,nan,nan,10162,1392,41224,2151,68485,1855,0,0,0,0,0,39939,15285,40972,39864,261329,610.58
38,1.0,Chennai,Metro,1.1,650,800,Living Room,291,Mid,Standard,Granite,Premium,nan,nan,True,nan,nan,nan,7327,1137,171763,1285,0,0,31111,1026,0,0,0,0,14518,41875,48608,318650,1095.02
39,1.0,Surat,Tier-2,1.0,550,700,Dining,212,Luxury,Luxury,Vitrified_Tile,Standard,POP,Standard,True,Basic,nan,nan,8198,653,33221,864,23047,825,28595,649,0,0,0,75170,13848,47942,41942,274955,1296.96
40,1.0,Jaipur,Tier-2,0.95,550,700,Kids Room,281,Luxury,Economy,Marble,Premium,Gypsum,Standard,True,Basic,nan,nan,6022,630,176578,1611,41475,1181,20496,1094,0,0,0,60534,21318,88552,75508,494999,1761.56
41,1.0,Patna,Tier-3,0.88,450,600,Kitchen,113,Mid,Standard,Granite,Standard,nan,nan,True,nan,Standard_L,nan,2926,538,24355,597,0,0,15152,483,244329,0,34576,0,18313,48766,70206,460242,4072.94
42,1.0,Mumbai,Metro,1.3,800,950,Kitchen,548,Basic,Premium,Ceramic_Tile,Economy,Gypsum,Standard,True,nan,Basic_L,nan,25132,1819,89366,3789,145156,2723,78380,2507,305311,0,73527,0,58957,76410,155354,1018431,1858.45
43,1.0,Mumbai,Metro,1.3,800,950,Bathroom,202,Basic,Premium,Ceramic_Tile,Economy,nan,nan,False,nan,nan,Basic,9098,1032,37603,1777,0,0,0,0,0,136738,110133,0,18099,43568,64449,422497,2091.57
44,1.0,Chennai,Metro,1.1,650,800,Kids Room,502,Basic,Luxury,Vitrified_Tile,Luxury,Gypsum,Standard,False,Standard,nan,nan,24410,1255,100042,2939,87144,1805,0,0,0,0,0,144456,19744,41274,76152,499221,994.46
45,1.0,Chandigarh,Tier-2,1.02,600,750,Living Room,523,Basic,Premium,Marble,Standard,POP,Standard,False,Standard,nan,nan,18524,1130,311781,2304,47100,1808,0,0,0,0,0,120452,39764,68422,110031,721316,1379.19
46,1.0,Jaipur,Tier-2,0.95,550,700,Bathroom,312,Mid,Premium,Vitrified_Tile,Premium,nan,nan,True,nan,nan,Standard,11052,1019,40951,1540,0,0,23285,913,0,250947,62780,0,21225,62798,85772,562281,1802.18
47,1.0,Bangalore,Metro,1.25,750,900,Bedroom,277,Luxury,Premium,Ceramic_Tile,Standard,nan,nan,False,Basic,nan,nan,11446,1152,46130,1585,0,0,0,0,0,0,0,59478,9235,38812,30211,198048,714.98
48,1.0,Pune,Metro,1.2,700,850,Living Room,385,Basic,Standard,Ceramic_Tile,Standard,Grid,Economy,False,nan,nan,nan,10504,1268,65324,2225,71327,2246,0,0,0,0,0,0,9858,21711,33203,217667,565.37
49,1.0,Delhi,Metro,1.2,750,900,Living Room,487,Luxury,Economy,Ceramic_Tile,Premium,nan,nan,True,nan,nan,nan,10288,1856,64933,3443,0,0,87368,1728,0,0,0,0,8793,53599,41762,273770,562.16
50,1.0,Coimbatore,Tier-2,0.95,520,660,Study,273,Luxury,Standard,Ceramic_Tile,Premium,POP,Economy,True,nan,nan,nan,6564,616,41508,1221,30978,878,20955,853,0,0,0,0,7663,30450,25504,167190,612.42
51,1.0,Ahmedabad,Metro,1.05,600,750,Dining,338,Luxury,Economy,Ceramic_Tile,Premium,POP,Economy,True,Basic,nan,nan,5851,937,53606,2002,33940,1770,36401,1410,0,0,0,52524,9833,62374,46917,307565,909.96
52,1.0,Jaipur,Tier-2,0.95,550,700,Study,232,Mid,Economy,Epoxy,Standard,POP,Standard,False,Basic,nan,nan,4224,719,27450,1366,29932,1092,0,0,0,0,0,64336,11082,29439,30535,200175,862.82
53,1.0,Coimbatore,Tier-2,0.95,520,660,Study,513,Luxury,Luxury,Wood_Laminate,Standard,Gypsum,Luxury,True,Basic,nan,nan,15948,1315,114800,2698,78234,2390,71629,1589,0,0,0,54830,30052,107838,86638,567962,1107.14
54,1.0,Mumbai,Metro,1.3,800,950,Bathroom,506,Luxury,Standard,Ceramic_Tile,Standard,nan,nan,True,nan,nan,Standard,12532,1529,90214,4341,0,0,71962,2224,0,275332,79700,0,47000,169418,135765,890017,1758.93
55,1.0,Varanasi,Tier-3,0.9,480,620,Dining,95,Luxury,Economy,Granite,Economy,Gypsum,Standard,True,nan,nan,nan,1757,581,32385,527,13865,573,6637,558,0,0,0,0,3081,17918,14019,91900,967.37
56,1.0,Mysuru,Tier-3,0.94,520,660,Kids Room,524,Luxury,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,nan,nan,nan,8117,1073,69595,1791,64701,1953,36153,1357,0,0,0,0,12292,62996,46805,306831,585.56
57,1.0,Kolkata,Metro,1.0,600,750,Living Room,469,Luxury,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,Basic,nan,nan,12451,1328,65605,2457,67052,2189,65308,1721,0,0,0,38103,14907,84807,64067,419997,895.52
58,1.0,Guwahati,Tier-3,0.92,500,640,Living Room,489,Basic,Premium,Engineered_Wood,Standard,POP,Economy,True,nan,nan,nan,17481,1452,118609,3055,61764,2136,46633,1722,0,0,0,0,16120,33377,54423,356772,729.59
59,1.0,Hyderabad,Metro,1.15,700,850,Kids Room,413,Mid,Economy,Ceramic_Tile,Standard,nan,nan,True,nan,nan,nan,12752,1188,38196,2724,0,0,64333,2011,0,0,0,0,7500,27756,28163,184623,447.03
60,1.0,Mumbai,Metro,1.3,800,950,Living Room,271,Luxury,Economy,Vitrified_Tile,Premium,Grid,Standard,True,Standard,nan,nan,5796,1164,58010,2263,48324,1263,49596,1564,0,0,0,109659,18819,82181,68155,446794,1648.68
61,1.0,Surat,Tier-2,1.0,550,700,Kitchen,428,Mid,Standard,Ceramic_Tile,Premium,nan,nan,True,nan,Basic_L,nan,13317,1325,63523,2813,0,0,56746,1237,291202,0,26294,0,27101,104529,105856,693944,1621.37
62,1.0,Pune,Metro,1.2,700,850,Bedroom,221,Mid,Luxury,Marble,Standard,Gypsum,Standard,True,Standard,nan,nan,11438,747,219105,1679,54544,922,30439,942,0,0,0,183250,26907,101619,113686,745278,3372.3
63,1.0,Guwahati,Tier-3,0.92,500,640,Kids Room,156,Mid,Economy,Ceramic_Tile,Standard,nan,nan,True,Basic,nan,nan,3648,560,11968,846,0,0,22705,633,0,0,0,44312,7442,15410,19354,126878,813.32
64,1.0,Varanasi,Tier-3,0.9,480,620,Living Room,527,Basic,Standard,Granite,Standard,Gypsum,Economy,False,nan,nan,nan,10440,1390,107879,2175,75005,2010,0,0,0,0,0,0,10763,28244,42823,280730,532.69
65,1.0,Kolkata,Metro,1.0,600,750,Bathroom,318,Luxury,Premium,Ceramic_Tile,Premium,nan,nan,True,nan,nan,Premium,10838,800,34672,1904,0,0,50802,968,0,341908,70250,0,32805,134181,122243,801370,2520.03
66,1.0,Jaipur,Tier-2,0.95,550,700,Kids Room,145,Luxury,Standard,Marble,Premium,nan,nan,True,Premium,nan,nan,2764,580,60245,793,0,0,17229,563,0,0,0,389536,35837,161796,120482,789824,5447.06
67,1.0,Vadodara,Tier-2,0.98,550,700,Kids Room,345,Basic,Standard,Wood_Laminate,Standard,nan,nan,True,nan,nan,nan,8066,911,54717,1993,0,0,27445,1199,0,0,0,0,7711,14055,20898,136996,397.09
68,1.0,Surat,Tier-2,1.0,550,700,Dining,499,Basic,Standard,Vitrified_Tile,Standard,nan,nan,False,Standard,nan,nan,11551,1365,96595,2101,0,0,0,0,0,0,0,136362,22314,28021,53696,352005,705.42
69,1.0,Delhi,Metro,1.2,750,900,Bedroom,91,Luxury,Standard,Ceramic_Tile,Economy,nan,nan,True,Basic,nan,nan,3113,755,12909,795,0,0,12101,853,0,0,0,63867,6164,30867,23656,155081,1704.18
70,1.0,Chennai,Metro,1.1,650,800,Kitchen,483,Mid,Premium,Vitrified_Tile,Luxury,Gypsum,Economy,False,nan,Standard_L,nan,15492,1674,88828,3430,78496,2235,0,0,205017,0,65845,0,33273,102807,107477,704574,1458.75
71,1.0,Jaipur,Tier-2,0.95,550,700,Bathroom,81,Mid,Luxury,Vitrified_Tile,Economy,nan,nan,True,nan,nan,Standard,2032,624,9818,631,0,0,11498,659,0,106974,67355,0,13467,40118,45571,298746,3688.23
72,1.0,Jaipur,Tier-2,0.95,550,700,Bedroom,255,Mid,Standard,Marble,Luxury,Grid,Standard,False,Basic,nan,nan,4850,809,181953,1233,22456,782,0,0,0,0,0,35575,23175,55971,58825,385627,1512.26
73,1.0,Chennai,Metro,1.1,650,800,Kitchen,517,Mid,Luxury,Vitrified_Tile,Premium,nan,nan,False,nan,Standard_L,nan,18884,1716,83924,3449,0,0,0,0,400363,0,53990,0,28600,93346,123169,807441,1561.78
74,1.0,Bhopal,Tier-2,0.93,500,640,Kitchen,534,Luxury,Premium,Ceramic_Tile,Standard,POP,Economy,True,nan,Luxury_Island,nan,17100,1186,66775,1723,48535,2050,62094,1335,499403,0,29999,0,47960,224901,180551,1183612,2216.5
75,1.0,Varanasi,Tier-3,0.9,480,620,Bathroom,322,Mid,Standard,Vitrified_Tile,Standard,nan,nan,True,nan,nan,Standard,8546,781,34509,1123,0,0,28071,826,0,204146,60206,0,24822,83199,80321,526552,1635.25
76,1.0,Patna,Tier-3,0.88,450,600,Kids Room,416,Mid,Standard,Ceramic_Tile,Standard,Gypsum,Luxury,True,nan,nan,nan,11682,947,37710,2029,71423,1728,34575,895,0,0,0,0,8164,26080,35142,230376,553.79
77,1.0,Chandigarh,Tier-2,1.02,600,750,Living Room,376,Basic,Standard,Vitrified_Tile,Standard,nan,nan,False,nan,nan,nan,7800,1008,62061,2233,0,0,0,0,0,0,0,0,4490,7676,15348,100614,267.59
78,1.0,Mumbai,Metro,1.3,800,950,Kids Room,112,Luxury,Premium,Granite,Premium,Grid,Economy,True,Premium,nan,nan,5882,863,39899,925,23627,932,11598,947,0,0,0,460013,40412,148699,132083,865880,7731.07
79,1.0,Chennai,Metro,1.1,650,800,Kids Room,312,Mid,Economy,Marble,Economy,nan,nan,False,Standard,nan,nan,6911,834,204565,2329,0,0,0,0,0,0,0,144681,19352,60725,79091,518488,1661.82
80,1.0,Varanasi,Tier-3,0.9,480,620,Bedroom,158,Basic,Luxury,Ceramic_Tile,Economy,Grid,Standard,False,Standard,nan,nan,5095,517,16104,709,14684,537,0,0,0,0,0,99988,7591,17067,29212,191504,1212.05
81,1.0,Jaipur,Tier-2,0.95,550,700,Kitchen,365,Basic,Standard,Vitrified_Tile,Standard,nan,nan,False,nan,Basic_L,nan,8444,882,61798,1716,0,0,0,0,214680,0,41312,0,22213,48667,71948,471659,1292.22
82,1.0,Ranchi,Tier-3,0.9,480,620,Bedroom,99,Luxury,Economy,Engineered_Wood,Standard,POP,Economy,True,Standard,nan,nan,2608,542,26571,606,8991,488,12037,535,0,0,0,124048,9107,59985,44193,289712,2926.38
83,1.0,Surat,Tier-2,1.0,550,700,Study,100,Basic,Economy,Epoxy,Luxury,Gypsum,Economy,False,nan,nan,nan,2246,665,17442,613,15081,649,0,0,0,0,0,0,2049,5394,7945,52084,520.84
84,1.0,Patna,Tier-3,0.88,450,600,Bathroom,323,Luxury,Premium,Ceramic_Tile,Premium,nan,nan,True,nan,nan,Premium,8824,810,33554,1662,0,0,42286,1193,0,340778,78230,0,31244,176553,128724,843860,2612.57
85,1.0,Bangalore,Metro,1.25,750,900,Bedroom,355,Mid,Premium,Marble,Economy,nan,nan,False,nan,nan,nan,13227,1382,152180,2658,0,0,0,0,0,0,0,0,13215,35584,39284,257529,725.43
86,1.0,Varanasi,Tier-3,0.9,480,620,Kids Room,223,Mid,Luxury,Engineered_Wood,Standard,Gypsum,Standard,True,Basic,nan,nan,6372,558,49778,995,38737,975,16744,545,0,0,0,65220,11502,42822,42165,276413,1239.52
87,1.0,Mysuru,Tier-3,0.94,520,660,Living Room,456,Basic,Luxury,Granite,Standard,Gypsum,Economy,False,Basic,nan,nan,13279,1022,177817,1727,62149,1720,0,0,0,0,0,59758,19047,40637,67888,445044,975.97
88,1.0,Pune,Metro,1.2,700,850,Kids Room,505,Mid,Economy,Vitrified_Tile,Luxury,Gypsum,Luxury,True,Basic,nan,nan,10905,1883,132761,2395,131646,2511,69542,1515,0,0,0,86384,41277,108127,106010,694957,1376.15
89,1.0,Surat,Tier-2,1.0,550,700,Kitchen,268,Luxury,Premium,Ceramic_Tile,Economy,Grid,Standard,True,nan,Standard_L,nan,8982,842,23734,1589,38173,904,29875,973,315617,0,57091,0,36508,160534,121468,796291,2971.23
90,1.0,Kanpur,Tier-3,0.9,480,620,Bedroom,321,Basic,Standard,Vitrified_Tile,Premium,nan,nan,False,Basic,nan,nan,9338,656,50487,1282,0,0,0,0,0,0,0,48953,5475,16275,23844,156312,486.95
91,1.0,Patna,Tier-3,0.88,450,600,Bathroom,75,Luxury,Standard,Ceramic_Tile,Standard,nan,nan,True,nan,nan,Standard,1971,515,10127,529,0,0,6119,503,0,141330,62546,0,22101,72012,57196,374950,4999.33
92,1.0,Ahmedabad,Metro,1.05,600,750,Kitchen,398,Basic,Premium,Ceramic_Tile,Premium,nan,nan,False,nan,Basic_L,nan,12260,1464,46994,2232,0,0,0,0,166820,0,45660,0,14165,36632,58721,384948,967.21
93,1.0,Pune,Metro,1.2,700,850,Kids Room,402,Luxury,Economy,Granite,Economy,nan,nan,True,nan,nan,nan,14452,1721,126919,2589,0,0,51060,1738,0,0,0,0,17652,59147,49550,324827,808.03
94,1.0,Nagpur,Tier-2,0.95,520,680,Study,500,Mid,Premium,Vitrified_Tile,Premium,Grid,Standard,False,Basic,nan,nan,11020,1490,65855,2010,69052,1727,0,0,0,0,0,45401,18570,36952,45374,297451,594.9
95,1.0,Vadodara,Tier-2,0.98,550,700,Living Room,396,Luxury,Premium,Marble,Standard,Gypsum,Economy,True,nan,nan,nan,8964,1072,168757,2091,62277,1625,46620,1558,0,0,0,0,22273,84374,71930,471541,1190.76
96,1.0,Guwahati,Tier-3,0.92,500,640,Dining,446,Mid,Standard,Ceramic_Tile,Premium,POP,Premium,True,Basic,nan,nan,11289,1395,66386,2146,48261,1361,38017,1156,0,0,0,36595,11100,31198,44803,293708,658.54
97,1.0,Jaipur,Tier-2,0.95,550,700,Bedroom,525,Mid,Standard,Ceramic_Tile,Premium,POP,Standard,True,Standard,nan,nan,12629,1443,62265,2425,81856,2005,60762,1674,0,0,0,113329,18426,79183,78479,514476,979.95
98,1.0,Ranchi,Tier-3,0.9,480,620,Living Room,354,Luxury,Premium,Marble,Economy,nan,nan,True,Basic,nan,nan,13011,694,111266,1455,0,0,30985,1113,0,0,0,43965,14435,54267,48814,320005,903.97
99,1.0,Guwahati,Tier-3,0.92,500,640,Bathroom,349,Luxury,Luxury,Vitrified_Tile,Standard,nan,nan,True,nan,nan,Premium,14134,713,51437,1242,0,0,32734,1339,0,343019,77089,0,28667,157034,127333,834741,2391.81
100,1.0,Hyderabad,Metro,1.15,700,850,Kitchen,176,Luxury,Standard,Vitrified_Tile,Standard,POP,Standard,True,nan,Premium_U,nan,4989,816,25896,1273,25988,754,17936,772,601313,0,31454,0,36960,214780,173327,1136258,6456.01
101,1.0,Mysuru,Tier-3,0.94,520,660,Bedroom,80,Mid,Standard,Ceramic_Tile,Economy,Grid,Luxury,True,nan,nan,nan,1665,544,10604,552,13340,623,8171,521,0,0,0,0,2878,7745,8396,55039,687.99
102,1.0,Bangalore,Metro,1.25,750,900,Dining,118,Luxury,Standard,Ceramic_Tile,Standard,nan,nan,True,Basic,nan,nan,4818,829,19013,865,0,0,21127,856,0,0,0,42797,4976,24292,21523,141097,1195.73
103,1.0,Hyderabad,Metro,1.15,700,850,Living Room,216,Basic,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,Premium,nan,nan,6209,763,38138,1776,31352,1121,17602,720,0,0,0,393001,36350,58391,105376,690800,3198.15
104,1.0,Varanasi,Tier-3,0.9,480,620,Bathroom,269,Mid,Economy,Ceramic_Tile,Economy,nan,nan,True,nan,nan,Standard,5004,597,25403,1094,0,0,19414,607,0,176111,73620,0,21588,60068,69031,452536,1682.29
105,1.0,Pune,Metro,1.2,700,850,Bathroom,119,Luxury,Standard,Granite,Luxury,nan,nan,True,nan,nan,Standard,3417,823,79647,736,0,0,14502,807,0,238182,101693,0,39489,142937,112002,734233,6170.02
106,1.0,Ranchi,Tier-3,0.9,480,620,Kitchen,325,Luxury,Standard,Vitrified_Tile,Premium,nan,nan,False,nan,Luxury_Island,nan,6594,700,35267,1378,0,0,0,0,896067,0,30365,0,82857,294993,242680,1590900,4895.08
107,1.0,Ahmedabad,Metro,1.05,600,750,Kids Room,474,Mid,Standard,Vitrified_Tile,Standard,Gypsum,Standard,False,Basic,nan,nan,12783,1229,73021,1956,52650,1821,0,0,0,0,0,66368,13910,41756,47789,313282,660.93
108,1.0,Bangalore,Metro,1.25,750,900,Kids Room,326,Basic,Premium,Marble,Standard,Grid,Standard,False,nan,nan,nan,11160,1405,319304,2011,55390,1452,0,0,0,0,0,0,37776,57827,87538,573862,1760.31
109,1.0,Pune,Metro,1.2,700,850,Study,506,Luxury,Premium,Wood_Laminate,Premium,nan,nan,True,nan,nan,nan,17580,1463,106538,2852,0,0,47488,2136,0,0,0,0,13674,49856,43486,285073,563.38
110,1.0,Chandigarh,Tier-2,1.02,600,750,Study,283,Basic,Premium,Engineered_Wood,Luxury,POP,Standard,False,nan,nan,nan,7013,792,95530,1207,37980,1075,0,0,0,0,0,0,9494,19386,31046,203523,719.16
