Row_ID,Room_Type,Area_Sqft,paintable_area_sqft,flooring_area_sqft,false_ceiling_area_sqft,electrical_points
160,Dining,73,233.60000000000002,73,0.0,11.0
161,Bathroom,372,818.4000000000001,372,0.0,12.0
162,Living Room,428,1540.8,428,0.0,24.0
163,Dining,470,1504.0,470,0.0,17.0
164,Living Room,341,1227.6000000000001,341,306.90000000000003,23.0
165,Study,106,339.20000000000005,106,95.4,0.0
166,Living Room,477,1717.2,477,0.0,25.0
167,Bedroom,89,302.59999999999997,89,0.0,13.0
168,Dining,73,233.60000000000002,73,0.0,11.0
169,Living Room,193,694.8000000000001,193,164.04999999999998,21.0
170,Bedroom,180,612.0,180,153.0,15.0
171,Living Room,520,1872.0,520,0.0,26.0
172,Bathroom,382,840.4000000000001,382,0.0,12.0
173,Kids Room,405,1377.0,405,0.0,16.0
174,Study,307,982.4000000000001,307,260.95,0.0
175,Bedroom,511,1737.3999999999999,511,434.34999999999997,20.0
176,Dining,302,966.4000000000001,302,271.8,15.0
177,Bathroom,220,484.00000000000006,220,0.0,9.0
178,Bedroom,477,1621.8,477,429.3,0.0
179,Dining,290,928.0,290,261.0,14.0
180,Kids Room,183,622.1999999999999,183,164.70000000000002,0.0
181,Kids Room,372,1264.8,372,0.0,16.0
182,Kids Room,150,510.0,150,0.0,0.0
183,Bathroom,150,330.0,150,0.0,0.0
184,Study,517,1654.4,517,0.0,18.0
185,Study,375,1200.0,375,318.75,0.0
186,Dining,180,576.0,180,0.0,0.0
187,Bedroom,375,1275.0,375,318.75,18.0
188,Bedroom,197,669.8,197,0.0,15.0
189,Kitchen,146,438.0,146,124.1,0.0
190,Living Room,145,522.0,145,0.0,0.0
191,Study,280,896.0,280,252.0,0.0
192,Living Room,223,802.8000000000001,223,189.54999999999998,21.0
193,Dining,414,1324.8000000000002,414,0.0,0.0
194,Kids Room,215,731.0,215,0.0,13.0
195,Kitchen,334,1002.0,334,300.6,27.0
196,Dining,315,1008.0,315,0.0,15.0
197,Dining,378,1209.6000000000001,378,0.0,0.0
198,Bedroom,216,734.4,216,194.4,0.0
199,Kids Room,404,1373.6,404,343.4,0.0
200,Dining,464,1484.8000000000002,464,417.6,17.0
